EventTime,Mode,SensorId,SequenceNumber,Status,Reason,LatencyMs,MessageSizeBytes,CPUPercent,MemoryMB,KeyId
2026-06-22T17:29:55.524456+00:00,none,SoilSensor_001,1,ACCEPTED,dt_state_updated,0.261,614,0.0,29.113,None
2026-06-22T17:29:56.071092+00:00,none,SoilSensor_002,2,ACCEPTED,dt_state_updated,1.69,615,0.0,29.113,None
2026-06-22T17:29:56.612988+00:00,none,SoilSensor_003,3,ACCEPTED,dt_state_updated,1.41,614,0.0,29.113,None
2026-06-22T17:29:57.145123+00:00,none,SoilSensor_001,4,ACCEPTED,dt_state_updated,1.445,615,0.0,29.113,None
2026-06-22T17:29:57.657251+00:00,none,SoilSensor_002,5,ACCEPTED,dt_state_updated,0.406,615,0.0,29.113,None
2026-06-22T17:29:58.166079+00:00,none,SoilSensor_003,6,ACCEPTED,dt_state_updated,0.411,615,0.0,29.113,None
2026-06-22T17:29:58.698338+00:00,none,SoilSensor_001,7,ACCEPTED,dt_state_updated,0.706,615,0.0,29.113,None
2026-06-22T17:29:59.221956+00:00,none,SoilSensor_002,8,ACCEPTED,dt_state_updated,1.202,615,0.0,29.113,None
2026-06-22T17:29:59.761856+00:00,none,SoilSensor_003,9,ACCEPTED,dt_state_updated,1.469,615,0.0,29.113,None
2026-06-22T17:30:00.296058+00:00,none,SoilSensor_001,10,ACCEPTED,dt_state_updated,1.545,616,0.0,29.113,None
2026-06-22T17:35:10.425232+00:00,signandencrypt,SoilSensor_001,1,REJECTED,replay_detected_sequence_1_not_greater_than_last_10,5.209,804,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:10.955873+00:00,signandencrypt,SoilSensor_002,2,REJECTED,replay_detected_sequence_2_not_greater_than_last_8,11.826,804,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:11.486138+00:00,signandencrypt,SoilSensor_003,3,REJECTED,replay_detected_sequence_3_not_greater_than_last_9,10.311,804,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:12.038336+00:00,signandencrypt,SoilSensor_001,4,REJECTED,replay_detected_sequence_4_not_greater_than_last_10,14.372,804,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:12.542030+00:00,signandencrypt,SoilSensor_002,5,REJECTED,replay_detected_sequence_5_not_greater_than_last_8,2.456,804,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:13.093539+00:00,signandencrypt,SoilSensor_003,6,REJECTED,replay_detected_sequence_6_not_greater_than_last_9,12.601,804,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:13.618523+00:00,signandencrypt,SoilSensor_001,7,REJECTED,replay_detected_sequence_7_not_greater_than_last_10,2.755,804,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:14.150977+00:00,signandencrypt,SoilSensor_002,8,REJECTED,replay_detected_sequence_8_not_greater_than_last_8,15.566,804,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:14.696154+00:00,signandencrypt,SoilSensor_003,9,REJECTED,replay_detected_sequence_9_not_greater_than_last_9,8.407,804,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:15.225532+00:00,signandencrypt,SoilSensor_001,10,REJECTED,replay_detected_sequence_10_not_greater_than_last_10,9.84,808,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:15.751191+00:00,signandencrypt,SoilSensor_002,11,ACCEPTED,dt_state_updated,6.233,820,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:16.289064+00:00,signandencrypt,SoilSensor_003,12,ACCEPTED,dt_state_updated,9.824,820,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:16.836792+00:00,signandencrypt,SoilSensor_001,13,ACCEPTED,dt_state_updated,12.295,820,0.0,29.988,key-v42-0a13f7d4
2026-06-22T17:35:17.372088+00:00,signandencrypt,SoilSensor_002,14,ACCEPTED,dt_state_updated,10.25,804,0.0,29.988,key-v42-0a13f7d4
